analysis_sample,matrix_name,left_id,right_id,matching_similarity_pct,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
WHY_EUROPE,matrix_32_raw_0_1,KM4,EFA6,22.22222222222222,9,8,2,22.22222222222222,25,13.333333333333334,det_11_knowledge; det_14_environmental_concerns
WHY_EUROPE,matrix_32_raw_0_1,KM5,EFA2,13.333333333333334,15,8,2,13.333333333333334,25,9.523809523809524,det_13_technical_fit; det_16_commitment
WHY_EUROPE,matrix_32_raw_0_1,KM6,EFA5,37.5,8,8,3,37.5,37.5,23.076923076923077,det_02_credit_score; det_05_frugality; det_13_technical_fit
WHY_EUROPE,matrix_32_pos_0_1,KM1,EFA2,62.5,8,8,5,62.5,62.5,45.45454545454545,det_08_trust; det_11_knowledge; det_13_technical_fit; det_16_commitment; det_17_adherence
WHY_EUROPE,matrix_32_pos_0_1,KM2,EFA6,40,15,8,6,40,75,35.294117647058826,det_09_safety; det_15_self_satisfaction; det_16_commitment; det_18_autonomy; det_19_wellbeing; det_20_coziness
WHY_EUROPE,matrix_32_pos_0_1,KM3,EFA5,13.333333333333334,15,8,2,13.333333333333334,25,9.523809523809524,det_09_safety; det_13_technical_fit
WHY_EUROPE,matrix_32_pos_0_1,KM4,EFA3,46.15384615384615,13,8,6,46.15384615384615,75,40,det_04_added_value; det_06_climate_protection; det_11_knowledge; det_14_environmental_concerns; det_23_support; det_32_own_significance
WHY_EUROPE,matrix_32_pos_0_1,KM5,EFA1,0,14,8,0,0,0,0,NA
WHY_EUROPE,matrix_32_pos_0_1,KM6,EFA4,75,8,8,6,75,75,60,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_10_cost_efficiency; det_15_self_satisfaction
WHY_EUROPE,matrix_32_ext_0_1,KM1,EFA3,87.5,8,8,7,87.5,87.5,77.77777777777777,det_24_socialising; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
